,City,Country,Latitude,Temperature,Cloudiness %,Humidity %,Wind Speed
0,Punta Arenas,CL,-53.16,41.0,90,93,12.75
1,Mataura,NZ,-46.19,54.0,98,73,1.01
2,Hilo,US,19.71,80.06,40,58,10.29
3,Cape Town,ZA,-33.93,49.77,0,100,1.12
4,Jamestown,AU,-33.21,51.2,15,64,14.36
5,Busselton,AU,-33.64,51.51,44,68,12.88
6,Kapaa,US,22.08,83.57,75,66,13.87
7,Hithadhoo,MV,-0.6,84.32,0,75,13.62
8,Isangel,VU,-19.55,80.6,75,69,5.82
9,Kribi,CM,2.94,77.48,77,83,8.61
10,New Norfolk,AU,-42.78,43.16,75,87,10.29
11,Barhi,IN,24.31,80.6,75,83,2.24
12,Tabas,IR,33.6,89.6,18,17,2.24
13,Broome,GB,52.47,59.16,37,93,4.7
14,Rocha,UY,-34.48,52.28,97,95,11.21
15,Staropesterevo,RU,54.5,69.38,0,64,15.01
16,Voghera,IT,44.99,69.57,0,82,3.36
17,Brownwood,US,31.71,82.87,1,37,5.82
18,Hobart,AU,-42.88,43.16,75,87,10.29
19,Namie,JP,37.52,78.64,75,73,5.82
20,Laguna,BZ,16.17,82.4,40,74,2.73
21,Chalisgaon,IN,20.46,80.72,100,72,14.5
22,Bredasdorp,ZA,-34.53,52.79,1,82,1.63
23,Omaruru,NA,-21.42,51.56,0,52,3.38
24,Atuona,PF,-9.8,80.36,93,75,17.18
25,Moron,HT,18.56,80.36,10,80,4.23
26,Vestmannaeyjar,IS,63.44,52.64,96,94,7.43
27,Siva,GR,35.21,69.49,0,72,8.05
28,Matagami,NG,9.67,66.5,99,99,4.59
29,Albany,US,42.65,69.75,40,69,8.05
30,Torbay,CA,47.66,48.92,20,87,2.24
31,Mahebourg,MU,-20.41,65.52,20,72,4.5
32,Rikitea,PF,-23.12,74.42,62,78,14.14
33,Barrow,AR,-38.31,42.2,0,77,4.92
34,Qaanaaq,GL,77.48,43.64,100,64,6.67
35,Ushuaia,AR,-54.81,39.2,40,80,4.7
36,Oistins,BB,13.07,80.6,75,83,14.99
37,Nome,US,30.04,85.08,20,74,8.05
38,Kruisfontein,ZA,-34.0,50.12,9,93,4.47
39,Vaini,IN,15.34,71.6,90,100,5.82
